PITCHERS - BOS,IP,H,R,ER,BB,SO,HR,ERA
"Winckowski(W, 4-5)",5.0,7,2,2,1,1,1,5.00
"Whitlock(H, 2)",2.0,2,0,0,0,1,0,3.07
"Davis, A",1.0,2,0,0,0,2,0,4.15
Schreiber,1.0,0,0,0,0,0,0,1.62
,9.0,11,2,2,1,4,1,
