BATTERS - TOR,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SpringerCF,4,1,2,0,0,0,0,.279,.836
BichetteSS,4,1,1,4,0,1,1,.219,.569
Guerrero1B,4,0,1,0,0,0,0,.344,1.023
Gurriel Jr.DH,4,1,2,1,0,1,1,.297,.798
1-KatohPR-DH,0,0,0,0,0,0,0,.000,.667
"Chapman, M3B",4,1,1,1,0,1,1,.246,.746
KirkC,3,0,0,0,0,0,0,.227,.554
"Tapia, RLF",3,0,1,0,0,0,0,.235,.549
Espinal2B,3,1,1,0,0,2,1,.226,.703
ZimmerRF,3,1,1,0,0,1,0,.105,.368
,32,6,10,6,0,6,4,,
