PITCHERS - OAK,IP,H,R,ER,BB,SO,HR,ERA
"Montas(L, 0-1)",5.0,6,5,5,1,6,1,9.00
Lemoine,1.0,1,1,1,2,0,0,9.00
Acevedo,1.0,1,1,1,1,2,0,9.00
Snead,1.0,3,2,2,1,0,0,18.00
,8.0,11,9,9,5,8,1,
