BATTERS - OAK,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Kemp2B,4,0,1,0,0,0,1,.250,.500
McKinneyDH,3,0,0,0,0,2,0,.000,.000
b-LowriePH-DH,1,0,0,0,0,1,2,.000,.000
"Murphy, SC",4,1,1,0,0,2,0,.250,.750
PinderLF,4,2,2,1,0,0,0,.500,1.750
"Brown, S1B-RF",4,1,1,3,0,1,0,.250,1.250
AndrusSS,4,0,0,0,0,1,0,.000,.000
"Smith, K3B",4,0,0,0,0,2,1,.000,.000
PiscottyRF,1,0,0,0,0,0,0,.000,.500
a-VogtPH-1B,2,1,0,0,0,1,1,.000,.000
PacheCF,3,0,1,0,0,1,1,.333,.666
,34,5,6,4,0,11,6,,
