PITCHERS - NYY,IP,H,R,ER,BB,SO,HR,ERA
"Severino, L(L, 4-3)",6.0,3,2,2,2,4,0,3.35
Marinaccio,1.0,0,0,0,1,2,0,2.45
"Abreu, A",1.0,0,0,0,0,1,0,2.60
,8.0,3,2,2,3,7,0,
