PITCHERS - BAL,IP,H,R,ER,BB,SO,HR,ERA
"Wells, T(L, 1-4)",5.0,5,2,2,0,2,0,4.30
Krehbiel,1.0,0,0,0,0,1,0,3.05
Gillaspie,1.0,1,0,0,0,0,0,1.80
"Diplán, M",1.0,0,0,0,0,2,0,0.00
,8.0,6,2,2,0,5,0,
