Season,Outs Above Average,,Back Left,Back,Back Right,Back All,In Left,In,In Right,In All,Expected Catch Percentage (%),Actual Catch Percentage (%),Catch Percentage Added (%)
2016,-2,,-2,-1,0,-3,0,-1,2,1,84,83,-1
2017,6,,1,3,-2,2,2,0,2,4,86,88,2
2018,8,,0,4,0,5,1,2,0,2,87,90,3
2019,4,,-2,3,3,4,1,-1,1,1,87,89,2
2020,1,,0,1,1,2,1,-1,-1,-1,85,86,1
2021,2,,0,0,0,0,1,0,1,2,89,90,1
2022,-2,,0,0,-1,-2,-2,2,1,0,86,86,0
