BATTERS - MIL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
YelichLF,4,1,2,0,1,1,1,.230,.685
AdamesSS,4,1,1,1,0,0,5,.203,.759
a-HiuraPH,1,0,0,0,0,1,1,.210,.733
Tellez1B,4,0,1,0,0,1,1,.259,.803
"Urías, L2B",4,0,1,0,1,2,2,.226,.688
McCutchenDH,4,0,1,1,1,3,2,.221,.583
Peterson3B,5,0,0,0,0,0,5,.223,.718
RenfroeRF,4,1,1,1,0,0,2,.260,.795
CaratiniC,4,0,3,0,0,0,0,.228,.738
"Taylor, TCF",4,0,1,0,0,1,2,.226,.688
,38,3,11,3,3,9,21,,
