PITCHERS - PHI,IP,H,R,ER,BB,SO,HR,ERA
"Suárez, R",6.0,3,0,0,1,8,0,3.60
"Alvarado(BS, 2)",1.0,1,1,1,0,0,1,5.10
Bellatti,1.0,0,0,0,0,3,0,3.15
"Knebel(W, 3-5)",2.0,0,0,0,0,2,0,2.59
,10.0,4,1,1,1,13,1,
