PITCHERS - PIT,IP,H,R,ER,BB,SO,HR,ERA
"Keller, M",6.0,5,1,1,3,3,1,4.37
Banuelos,1.0,1,0,0,0,0,0,4.80
Underwood Jr.,1.0,0,0,0,1,1,0,4.03
Crowe,1.0,0,0,0,0,1,0,3.21
"De Los Santos, Y(L, 0-3)",1.0,0,1,0,0,0,0,2.91
,10.0,6,2,1,4,5,1,
