BATTERS - DET,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Greene, RCF",4,1,0,0,1,1,3,.269,.782
"Castro, WRF",4,1,2,0,0,0,2,.267,.677
"Báez, JSS",4,0,1,1,0,2,3,.213,.611
"Cabrera, MDH",3,0,1,2,1,0,1,.300,.706
Candelario3B,4,0,0,0,0,1,4,.187,.558
GrossmanLF,3,0,0,0,1,2,0,.208,.593
Clemens1B,4,0,1,0,0,1,1,.156,.546
Schoop2B,4,2,4,0,0,0,0,.203,.552
BarnhartC,3,0,1,1,1,0,3,.216,.523
,33,4,10,4,4,7,17,,
