Season,Bat Side,PA,Shifts,%,wOBA - No Shift,wOBA - Shift
2017,R,123,0,0.0,.319,
2018,R,161,33,20.5,.440,.474
2019,R,504,239,47.4,.385,.319
2020,R,234,153,65.4,.389,.396
2021,R,236,179,75.8,.363,.328
2022,R,567,436,76.9,.327,.307
