BATTERS - WSH,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
RoblesCF,5,1,1,1,0,2,0,.234,.616
AdrianzaLF,0,0,0,0,0,0,0,.185,.474
Hernández2B,2,2,1,0,0,0,0,.244,.620
"Soto, JRF",1,2,1,0,3,0,0,.246,.883
Bell1B,4,1,1,3,0,2,5,.305,.888
"Cruz, NDH",4,1,1,2,0,0,2,.231,.663
"Hernandez, YLF",3,0,1,1,0,0,0,.271,.727
"a-Thomas, LPH-LF-CF",1,0,0,0,0,1,0,.231,.671
"García, LSS",4,0,1,0,0,1,1,.286,.710
"Ruiz, KC",4,0,1,0,0,0,1,.248,.650
Franco3B,4,0,0,0,0,0,1,.232,.608
,32,7,8,7,3,6,10,,
