PITCHERS - WSH,IP,H,R,ER,BB,SO,HR,ERA
Espino,4.2,7,4,4,1,2,2,3.78
"Machado, A",0.1,1,1,1,1,1,0,4.93
"Harvey, H",1.0,0,0,0,0,2,0,2.53
"Ramirez(W, 3-1)",1.0,0,0,0,0,1,0,3.73
"Edwards Jr.(H, 9)",0.1,2,1,1,1,0,0,3.16
"Finnegan(S, 4)",1.2,0,0,0,0,0,0,3.51
,9.0,10,6,6,3,6,2,
