BATTERS - STL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
CarlsonCF,5,0,1,0,0,0,0,.254,.735
O'NeillLF,2,0,2,0,0,0,0,.233,.649
a-DickersonPH-LF,2,0,0,1,0,1,0,.209,.580
Goldschmidt1B,4,1,1,0,0,2,3,.333,1.025
Arenado3B,3,2,1,1,1,0,2,.293,.890
GormanDH,4,0,2,0,0,1,1,.235,.750
NootbaarRF,2,1,1,1,1,0,0,.215,.703
DeJongSS,3,1,1,3,0,1,1,.138,.461
KniznerC,2,1,1,0,1,1,1,.216,.575
b-DonovanPH,1,0,0,0,0,0,2,.280,.769
RomineC,0,0,0,0,0,0,0,.167,.386
Edman2B,4,0,0,0,0,0,2,.254,.686
,32,6,10,6,3,6,12,,
