PITCHERS - BOS,IP,H,R,ER,BB,SO,HR,ERA
"Crawford, K",4.2,10,4,4,2,5,0,5.30
Strahm,0.2,1,1,1,1,1,1,3.60
Familia,1.2,0,0,0,2,3,0,5.54
Sawamura,1.0,1,0,0,1,0,0,3.26
"Barnes, M",1.0,1,0,0,1,0,0,5.81
"Schreiber(L, 3-3)",1.0,0,1,0,0,0,0,2.29
,10.0,13,6,5,7,9,1,
