BATTERS - KC,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
MelendezC,3,0,1,0,1,1,0,.219,.717
RiveroC,1,0,0,0,0,0,1,.182,.432
Witt Jr.SS,4,0,1,0,1,1,1,.256,.734
"Perez, SDH",5,0,0,0,0,0,4,.249,.746
Pasquantino1B,4,1,2,0,1,0,1,.284,.815
OlivaresLF,3,0,0,0,0,0,4,.304,.807
WatersLF,1,1,0,0,1,0,1,.233,.744
DozierRF,3,0,1,0,0,1,0,.241,.692
a-O'HearnPH-RF,1,1,1,2,0,0,0,.236,.613
"Taylor, MCF",3,0,2,0,0,0,1,.261,.688
b-IsbelPH-CF,1,0,0,0,0,0,1,.210,.589
Eaton3B,2,0,1,1,1,0,1,.269,.745
"Lopez, N2B",4,0,0,0,0,0,4,.228,.558
,35,3,9,3,5,3,19,,
