PITCHERS - PHI,IP,H,R,ER,BB,SO,HR,ERA
"Gibson(L, 3-2)",5.2,8,2,2,0,7,0,3.98
Domínguez,1.0,2,0,0,0,0,0,2.45
Hand,0.1,0,0,0,0,0,0,1.74
Bellatti,1.0,0,0,0,1,1,0,2.61
Brogdon,1.0,0,0,0,0,2,0,3.60
,9.0,10,2,2,1,10,0,
