PITCHERS - NYY,IP,H,R,ER,BB,SO,HR,ERA
"Cortes(W, 4-1)",8.0,4,1,1,1,5,0,1.70
"Peralta, Wa",1.0,2,1,1,0,1,0,2.25
,9.0,6,2,2,1,6,0,
