PITCHERS - MIL,IP,H,R,ER,BB,SO,HR,ERA
"Burnes(W, 8-4)",6.0,5,3,3,0,11,1,2.31
McGee,1.0,1,1,1,1,1,1,6.66
Gustave,1.0,1,0,0,0,2,0,4.10
Strzelecki,1.0,0,0,0,1,1,0,3.60
,9.0,7,4,4,2,15,2,
