PITCHERS - TB,IP,H,R,ER,BB,SO,HR,ERA
"Armstrong(L, 2-2)",3.0,1,1,1,1,2,1,4.62
Yarbrough,2.2,3,0,0,2,1,0,4.69
Chargois,0.1,1,1,1,0,0,0,1.29
Poche,1.0,0,0,0,0,1,0,2.79
Wisler,2.0,1,0,0,0,1,0,2.25
,9.0,6,2,2,3,5,1,
