PITCHERS - BOS,IP,H,R,ER,BB,SO,HR,ERA
Hill,4.2,3,3,3,4,3,0,4.20
Danish,0.1,0,0,0,1,0,0,4.28
"Robles(L, 1-3)(BS, 6)",0.2,2,3,3,3,1,1,5.70
Diekman,0.1,0,0,0,1,1,0,3.08
Sawamura,2.0,1,0,0,1,3,0,2.63
,8.0,6,6,6,10,8,1,
