PITCHERS - CHC,IP,H,R,ER,BB,SO,HR,ERA
Sampson,5.1,8,5,4,1,4,1,3.38
"Hughes(W, 1-0)",1.0,2,0,0,1,2,0,4.26
"Effross(H, 10)",0.2,0,0,0,0,0,0,2.76
"Martin(H, 4)",1.0,1,0,0,0,3,0,3.70
"Robertson(S, 10)",1.0,0,0,0,0,0,0,1.80
,9.0,11,5,4,2,9,1,
