PITCHERS - LAA,IP,H,R,ER,BB,SO,HR,ERA
"Suarez, J(L, 6-8)",5.0,7,5,5,1,4,1,4.11
Weiss,2.0,1,3,3,2,3,1,3.38
"Marte, J",1.0,0,0,0,3,2,0,7.36
Mayers,1.0,1,1,1,0,2,1,5.59
,9.0,9,9,9,6,11,3,
