PITCHERS - SF,IP,H,R,ER,BB,SO,HR,ERA
Rodón,5.0,6,5,5,2,7,1,2.95
"Marte, Y",1.0,0,0,0,0,1,0,4.88
Brebbia,1.0,1,0,0,1,0,0,2.40
"Leone(L, 3-2)(BS, 3)",0.2,2,2,2,0,1,0,3.78
"García, J",0.1,1,2,2,1,0,1,2.43
,8.0,10,9,9,4,9,2,
