BATTERS - DET,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
GrossmanRF,4,0,0,0,0,0,2,.143,.476
MeadowsLF,4,1,2,0,0,1,0,.500,1.500
"Báez, JSS",4,0,2,0,0,1,1,.444,.888
Candelario3B,4,1,1,1,0,1,2,.250,.625
"Cabrera, MDH",3,0,1,0,1,2,0,.286,.661
Schoop2B,4,0,1,1,0,1,1,.286,.804
HaaseC,2,0,0,0,2,1,4,.250,1.500
Torkelson1B,2,0,0,0,2,2,3,.000,.250
BaddooCF,3,0,0,0,0,2,3,.000,.000
a-GarneauPH,1,0,0,0,0,1,2,.000,.000
,31,2,7,2,5,12,18,,
