BATTERS - TOR,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SpringerDH,4,0,2,1,0,0,0,.269,.819
BichetteSS,4,0,0,0,0,1,2,.289,.804
Guerrero1B,3,1,0,0,1,0,1,.273,.811
"Hernández, TRF",4,2,3,3,0,1,0,.267,.811
ZimmerCF,0,0,0,0,0,0,0,.124,.450
"Chapman, M3B",2,0,0,0,1,1,0,.229,.757
"Jansen, DC",4,1,1,0,0,2,3,.264,.868
"Tapia, RLF",4,0,0,0,0,3,4,.263,.668
Merrifield2B,4,2,3,2,0,0,2,.247,.670
Bradley Jr.CF-RF,3,0,0,0,0,0,2,.202,.565
,32,6,9,6,2,8,14,,
