PITCHERS - BOS,IP,H,R,ER,BB,SO,HR,ERA
"Wacha(L, 11-2)",4.0,6,5,5,1,4,3,3.32
Bazardo,2.0,1,0,0,0,2,0,2.93
Ort,1.0,1,1,1,0,0,0,6.35
German,1.0,1,0,0,1,2,0,18.00
,8.0,9,6,6,2,8,3,
