Year,Team,Avg HR Trot,Actual HR,xHR,HR-xHR,Doubters,Mostly Gone,No Doubters,No Doubter %
2016,,23.8,29,24.8,4,17,22,9,31.0
2017,,25.7,25,23.8,1,19,16,11,44.0
2018,,25.9,15,14.6,0,8,10,7,46.7
2019,,25.9,29,23.6,5,14,16,12,41.4
2020,,25.5,7,9.1,-2,8,8,4,57.1
2021,,26.6,28,23.8,4,11,19,11,39.3
2022,,26.3,13,14.4,-1,10,14,4,30.8
Player,,25.6,146,134.2,12,87,105,58,39.7
