,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,532,468,61,130,13,81,3,.278,.350,.438,.788
14 Seasons,5146,4522,652,1307,164,663,41,.289,.366,.466,.832
