 , ,Bases Empty, , , ,Runners On Base
Season,Team,Pitches,Tempo,Fast %,Slow %,Pitches,Tempo,Fast %,Slow %
2010,,24,17.0,25.0%,0.0%,8,18.8,0.0%,0.0%
2011,,521,15.3,47.0%,1.0%,333,22.7,0.9%,12.9%
2012,,204,16.9,31.4%,2.5%,142,21.8,3.5%,10.6%
2013,,258,16.8,31.0%,1.6%,144,22.4,4.2%,9.0%
2014,,380,18.0,21.3%,3.2%,224,23.7,0.0%,17.4%
2015,,521,18.1,26.7%,5.2%,283,25.8,2.1%,31.4%
2016,,790,18.0,23.2%,5.4%,401,25.6,2.5%,29.2%
2017,,585,17.4,22.7%,4.6%,393,24.2,0.0%,17.8%
2018,,501,18.0,22.8%,3.6%,349,23.9,0.3%,16.9%
2019,,678,18.5,16.5%,3.5%,349,25.2,0.6%,22.3%
2020,,223,17.2,23.8%,1.3%,113,23.8,1.8%,14.2%
2021,,665,18.1,20.5%,2.6%,505,24.8,0.0%,18.0%
2022,,585,17.5,25.8%,2.7%,394,23.6,0.3%,13.2%
