,Season,Tm,LG,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
,2009,BAL,AL,12,22,18,2,3,0,0,0,3,4,3,0,0,0,.167,.318,.167,.485
,2010,BAL,AL,5,9,9,0,0,0,0,0,0,0,3,0,0,0,.000,.000,.000,.000
,2010,NYM,NL,4,9,8,1,1,1,0,0,0,1,0,0,0,0,.125,.222,.250,.472
,2010,2 Teams,,9,18,17,1,1,1,0,0,0,1,3,0,0,0,.059,.111,.118,.229
,2011,NYM,NL,117,487,435,49,113,30,0,4,51,39,59,7,2,10,.260,.334,.356,.690
,2012,NYM,NL,94,185,171,20,46,13,1,2,19,9,24,1,1,4,.269,.319,.392,.711
,2013,NYM,NL,86,214,200,12,56,13,1,2,16,11,34,0,1,1,.280,.319,.385,.704
,2014,LAD,NL,109,322,288,46,98,21,1,7,43,28,58,6,1,4,.340,.404,.493,.897
,2015,LAD,NL,126,439,385,55,113,26,1,16,60,36,71,5,2,13,.294,.370,.491,.861
,2016,LAD,NL,151,622,556,79,153,34,3,27,90,48,107,4,1,10,.275,.339,.493,.832
*,2017,LAD,NL,130,543,457,72,147,32,0,21,71,59,56,7,1,19,.322,.415,.530,.945
,2018,LAD,NL,103,426,365,62,114,31,1,14,52,47,54,2,1,12,.312,.406,.518,.924
,2019,LAD,NL,135,549,479,80,139,24,0,27,67,51,88,2,0,14,.290,.372,.509,.881
,2020,LAD,NL,42,175,150,26,46,9,1,4,23,18,26,1,0,6,.307,.400,.460,.860
*,2021,LAD,NL,151,612,533,87,148,22,0,27,87,61,98,3,0,12,.278,.361,.471,.832
,2022,LAD,NL,128,532,468,61,130,36,0,13,81,50,89,3,0,6,.278,.350,.438,.788
,14 Seasons,3 Teams,,1393,5146,4522,652,1307,292,9,164,663,462,770,41,10,111,.289,.366,.466,.832
