BATTERS - SD,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
ProfarLF,4,1,1,0,0,0,0,.232,.736
"Machado, M3B",4,0,1,1,0,0,0,.344,.978
Hosmer1B,4,0,0,0,0,0,1,.310,.806
VoitDH,3,1,1,1,1,1,0,.217,.697
Cronenworth2B,4,0,1,0,0,0,2,.211,.616
KimSS,4,0,1,0,0,1,3,.221,.677
"Nola, AuC",3,0,1,0,1,0,0,.226,.576
GrishamCF,3,0,0,0,1,1,2,.160,.550
AzocarRF,3,0,0,0,0,0,0,.246,.594
"a-Canó, RPH",1,0,0,0,0,0,3,.149,.371
,33,2,6,2,3,3,11,,
