PITCHERS - STL,IP,H,R,ER,BB,SO,HR,ERA
"Hudson, D(W, 4-2)",7.0,4,1,1,1,3,0,2.96
"VerHagen(H, 1)",1.0,0,0,0,0,0,0,3.14
Whitley,0.2,2,1,1,2,0,1,6.00
"Wittgren(S, 1)",0.1,0,0,0,0,0,0,5.30
,9.0,6,2,2,3,3,1,
