BATTERS - BOS,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
PhamDH,4,1,1,0,0,1,4,.248,.713
VerdugoRF,5,1,2,0,0,1,4,.283,.731
BogaertsSS,4,1,3,2,0,0,1,.317,.854
Devers3B,4,0,0,0,0,0,5,.291,.882
Story2B,4,1,3,3,0,1,2,.242,.753
Casas1B,4,0,1,0,0,0,1,.250,.500
RefsnyderCF,3,0,2,0,1,0,2,.319,.895
CorderoLF,4,0,0,0,0,2,4,.221,.703
WongC,1,1,0,0,3,0,0,.231,.815
,33,5,12,5,4,5,23,,
