BATTERS - ATL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Acuña Jr.RF,4,0,0,0,0,1,0,.279,.812
SwansonSS,4,0,0,0,0,0,0,.298,.850
Olson1B,4,0,0,0,0,1,0,.252,.812
Riley3B,3,1,2,0,0,0,0,.273,.883
d'ArnaudC,2,0,1,1,1,0,1,.266,.799
OzunaDH,3,1,1,1,0,1,2,.229,.708
"Rosario, ELF",2,1,1,1,0,0,1,.111,.371
a-DuvallPH-LF,1,0,0,0,0,0,0,.205,.646
Arcia2B,3,0,0,0,0,0,0,.255,.705
"Harris II, MCF",3,0,0,0,0,1,0,.293,.818
,29,3,5,3,1,4,4,,
