PITCHERS - TB,IP,H,R,ER,BB,SO,HR,ERA
Springs,2.2,3,1,1,0,3,0,0.93
Adam,1.1,0,0,0,1,2,0,1.13
Beeks,2.0,2,0,0,1,2,0,0.00
"Feyereisen(W, 1-0)",2.0,0,0,0,0,2,0,0.00
"Poche(H, 3)",0.2,1,0,0,0,0,0,2.45
"Thompson, R(S, 2)",0.1,0,0,0,0,1,0,0.00
,9.0,6,1,1,2,10,0,
