Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2020,CLE,AL,P,8,6,33.1,4,0,4,0,0,,1.000
2021,CLE,AL,P,25,24,120.0,17,5,12,0,0,,1.000
2022,CLE,AL,P,31,30,191.1,22,12,9,1,1,,.955
3 Seasons,CLE,AL,P,64,60,344.2,43,17,25,1,1,,.977
