BATTERS - CLE,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
KwanLF,4,0,0,0,0,1,2,.290,.748
"Rosario, ADH",4,1,1,0,0,0,0,.275,.699
"Ramírez, Jo3B",4,1,2,2,0,2,0,.282,.887
"Gonzalez, ORF",4,1,3,1,0,0,0,.298,.818
"Miller, O1B",2,0,1,0,0,0,0,.248,.655
"a-Naylor, JPH-1B",2,0,0,0,0,0,3,.260,.766
Gimenez2B,4,2,3,0,0,0,1,.300,.845
"Freeman, TSS",3,0,2,1,0,0,1,.259,.643
HedgesC,3,0,0,0,0,1,4,.184,.543
StrawCF,3,0,1,0,0,0,1,.208,.534
,33,5,13,4,0,4,12,,
