PITCHERS - NYM,IP,H,R,ER,BB,SO,HR,ERA
"Walker, T",2.0,0,0,0,0,4,0,0.00
"Peterson, D",4.0,3,0,0,2,3,0,0.00
May,1.0,1,1,1,1,0,0,9.00
"Rodríguez, J",0.2,2,2,2,0,1,1,9.00
"Lugo(L, 0-1)(BS, 1)",0.1,2,2,2,1,1,0,7.71
,8.0,8,5,5,4,9,1,
