BATTERS - PHI,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SchwarberLF,4,1,0,1,0,3,2,.143,.651
RealmutoC,4,1,1,2,0,0,0,.154,.599
HarperRF,3,0,0,0,1,3,0,.071,.378
"Castellanos, NDH",3,1,1,0,1,1,0,.200,.717
Hoskins1B,4,1,1,1,0,0,2,.385,1.269
GregoriusSS,4,0,2,1,0,1,0,.250,.583
Segura2B,4,0,1,0,0,1,2,.333,1.175
Bohm3B,1,1,1,0,2,0,0,1.000,2.667
MuzziottiCF,0,0,0,0,0,0,0,.000,.000
VierlingCF,2,0,0,0,0,0,2,.000,.083
a-CamargoPH-3B,1,0,1,0,0,0,0,.667,1.417
,30,5,8,5,4,9,8,,
