PITCHERS - MIA,IP,H,R,ER,BB,SO,HR,ERA
"Rogers, Tr(L, 3-6)",5.0,5,4,3,2,7,0,5.83
Floro,1.0,1,0,0,0,1,0,5.65
Bass,1.0,1,0,0,0,0,0,2.00
Nance,1.0,2,2,2,2,2,0,5.82
,8.0,9,6,5,4,10,0,
