BATTERS - MIA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Berti3B,5,0,1,0,0,2,3,.279,.769
Chisholm Jr.2B,2,0,0,0,1,0,0,.241,.831
SolerDH,4,0,1,0,0,1,4,.219,.744
Cooper1B,4,0,1,0,0,1,3,.312,.836
"Rojas, MSS",4,0,2,0,0,0,3,.238,.653
StallingsC,2,0,1,0,2,1,0,.204,.544
EncarnacionRF,4,0,0,0,0,0,5,.125,.625
De La CruzCF,3,0,0,0,1,2,2,.207,.585
"Williams, LLF",4,0,1,0,0,3,4,.216,.545
,32,0,7,0,4,10,24,,
