BATTERS - KC,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
MelendezC,4,0,0,0,0,1,1,.221,.718
Witt Jr.SS,4,1,2,0,0,0,1,.254,.733
"Perez, SDH",3,0,1,1,1,2,0,.255,.759
Pasquantino1B,4,1,1,0,0,0,3,.269,.784
OlivaresRF,3,1,1,1,0,0,2,.305,.823
"Taylor, MCF",1,0,0,0,0,0,1,.257,.683
IsbelLF,4,0,2,0,0,1,0,.205,.582
Eaton3B,4,0,1,1,0,0,1,.268,.723
"Lopez, N2B",4,0,1,0,0,1,2,.233,.568
WatersCF-RF,3,1,1,1,0,1,1,.210,.687
,34,4,10,4,1,6,12,,
