BATTERS - PHI,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SchwarberLF,4,0,1,0,1,1,2,.204,.804
Hoskins1B,5,0,1,0,0,0,2,.252,.817
Bohm3B,4,0,0,0,0,0,3,.292,.722
RealmutoC,2,1,2,1,2,0,0,.259,.750
"Castellanos, NRF",4,0,0,0,0,2,6,.250,.661
"Hall, DDH",3,0,0,0,1,1,3,.244,.790
Stott2B,4,0,1,0,0,0,1,.194,.583
GregoriusSS,4,1,1,0,0,1,2,.219,.592
VierlingCF,4,0,0,0,0,0,3,.233,.628
,34,2,6,1,4,5,22,,
