BATTERS - TB,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Díaz, Y3B",3,0,0,1,2,1,0,.286,.815
MargotCF-RF,5,1,3,2,0,0,2,.305,.783
Choi1B,4,0,0,0,0,0,2,.231,.713
"Ramírez, HDH",5,1,2,0,0,0,3,.332,.816
ArozarenaRF-LF,4,1,1,0,0,1,4,.268,.791
PeraltaLF,3,0,1,1,0,0,0,.253,.756
Chang2B,1,1,1,1,0,0,0,.204,.557
Paredes2B,2,0,0,0,1,1,1,.222,.784
1-SiriPR-CF,0,2,0,0,1,0,0,.210,.613
BethancourtC,4,2,2,2,0,0,0,.238,.668
WallsSS,3,1,1,1,1,0,0,.173,.547
,34,9,11,8,5,3,12,,
