BATTERS - CLE,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
KwanLF,4,0,0,0,0,0,1,.000,.000
"Rosario, ASS",4,1,2,0,0,1,1,.500,1.000
"Ramírez, Jo3B",4,1,2,2,0,1,1,.500,1.750
"Gonzalez, ORF",4,0,1,0,0,1,2,.250,.500
"Naylor, J1B",3,0,1,0,0,0,0,.333,.666
"Miller, ODH",3,0,0,0,0,1,2,.000,.000
Gimenez2B,3,0,1,0,0,1,0,.333,.666
HedgesC,3,0,0,0,0,2,1,.000,.000
StrawCF,3,0,1,0,0,0,1,.333,.666
,31,2,8,2,0,7,9,,
