PITCHERS - STL,IP,H,R,ER,BB,SO,HR,ERA
"Mikolas(L, 3-2)",6.0,7,3,2,1,5,0,1.68
Naughton,1.2,1,0,0,0,1,0,2.89
Wittgren,0.1,0,0,0,0,0,0,4.05
,8.0,8,3,2,1,6,0,
