BATTERS - LAD,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
BettsRF,6,0,0,0,0,2,9,.289,.926
"Freeman, F1B",5,2,3,3,0,2,1,.290,.817
TurnerSS,4,2,1,1,1,0,1,.302,.835
Muncy2B,5,2,2,5,0,3,1,.159,.626
"Smith, W.D.DH",4,1,1,0,1,2,0,.235,.756
"Turner, J3B",3,0,0,0,2,1,0,.215,.647
BellingerCF,4,1,1,0,1,3,4,.211,.691
LuxLF,4,2,4,1,1,0,0,.290,.737
"Barnes, AC",4,1,0,0,1,2,7,.203,.723
,39,11,12,10,7,15,23,,
