Season,Age,Sprint Speed (ft/s),HP to 1st,Bolts,Pos Rank,Age Rank,Lg Rank,% Rank
2018,22,24.0,,,46,16,603,10.0
2019,23,24.7,,,32,30,585,14.5
2021,25,24.3,,,29,55,603,10.8
