PITCHERS - PHI,IP,H,R,ER,BB,SO,HR,ERA
"Nola, Aa(W, 5-5)",7.0,7,4,4,1,8,2,3.13
Familia,1.0,2,0,0,0,1,0,5.13
Appel,1.0,0,0,0,0,0,0,0.00
,9.0,9,4,4,1,9,2,
