BATTERS - ATL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Acuña Jr.DH,3,0,0,0,1,2,0,.271,.775
SwansonSS,4,0,1,1,0,3,0,.286,.787
Riley3B,4,1,2,1,0,1,2,.289,.921
Olson1B,3,0,0,0,0,3,1,.249,.820
d'ArnaudC,3,0,0,0,0,2,0,.262,.775
"Harris II, MCF",3,1,1,1,0,0,0,.298,.867
Grissom2B,3,1,1,0,0,1,0,.312,.822
"Rosario, ELF",3,0,0,0,0,0,1,.186,.547
HerediaLF,0,0,0,0,0,0,0,.130,.519
GrossmanRF,3,0,0,0,0,1,1,.206,.599
,29,3,5,3,1,13,5,,
