 ,2+ Stars (0-90%), , , ,Components of Jump, , ,Jump
Year,Outs,Opp,%,OAA,Reaction,Burst,Route,Feet vs Avg,Feet Covered
2018,2,6,33.3,0,0.1,0.3,0.6,1,33.2
2019,6,9,66.7,2,0.7,0.3,-1,0,32.8
2020,19,29,65.5,3,0.5,0.5,-0.3,0.5,33.4
2021,34,59,57.6,2,0.7,0.5,-0.1,1,33.7
2022,31,63,49.2,0,0,-0.8,0.3,-0.6,32.5
