 , ,Bases Empty, , , ,Runners On Base
Season,Team,Pitches,Tempo,Fast %,Slow %,Pitches,Tempo,Fast %,Slow %
2018,,80,19.4,0.0%,2.5%,33,24.4,0.0%,15.2%
2019,,68,20.9,0.0%,5.9%,40,24.1,0.0%,10.0%
2020,,211,20.9,0.9%,3.8%,152,25.9,0.0%,23.0%
2021,,566,21.8,1.1%,4.2%,346,26.5,0.3%,26.9%
2022,,548,21.4,1.3%,4.7%,370,25.4,0.3%,20.8%
