Season,Team,Pos,PA,Depth (ft.),Angle
2018,HOU,7,582,280,-27
2018,HOU,9,58,283,29
2018,HOU,8,7,299,0
2019,HOU,3,49,112,34
2019,HOU,9,238,290,26
2019,HOU,7,254,292,-26
2020,HOU,7,1499,292,-27
2020,HOU,9,218,295,27
2021,HOU,8,129,316,1
2021,HOU,9,4767,291,27
2022,HOU,9,5175,293,27
