,Season,Tm,LG,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
,2014,LAD,NL,85,162,149,16,27,3,0,1,9,10,28,0,0,2,.181,.242,.221,.463
,2015,MIA,NL,60,157,142,13,40,7,1,1,17,11,16,0,1,0,.282,.329,.366,.695
,2016,MIA,NL,123,214,194,27,48,12,0,1,14,11,27,2,1,1,.247,.288,.325,.613
,2017,MIA,NL,90,306,272,37,79,16,2,1,26,27,32,2,1,4,.290,.361,.375,.736
,2018,MIA,NL,153,528,488,44,123,13,0,11,53,24,69,6,3,9,.252,.297,.346,.643
,2019,MIA,NL,132,526,483,52,137,29,1,5,46,32,62,9,5,5,.284,.331,.379,.710
,2020,MIA,NL,40,143,125,20,38,10,1,4,20,16,18,5,1,2,.304,.392,.496,.888
,2021,MIA,NL,132,539,495,66,131,30,3,9,48,37,74,13,3,5,.265,.322,.392,.714
,2022,MIA,NL,140,507,471,34,111,19,2,6,36,26,61,9,3,6,.236,.283,.323,.606
,9 Seasons,2 Teams,,955,3082,2819,309,734,139,10,39,269,194,387,46,18,34,.260,.314,.358,.672
