,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,507,471,34,111,6,36,9,.236,.283,.323,.606
9 Seasons,3082,2819,309,734,39,269,46,.260,.314,.358,.672
