BATTERS - MIL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Brosseau3B,0,1,0,0,1,0,0,.256,.756
a-PetersonPH-3B,3,0,0,0,1,1,3,.257,.751
AdamesSS,4,1,1,0,0,1,3,.229,.734
YelichLF,2,1,0,0,2,1,0,.259,.753
RenfroeRF,3,0,1,0,1,0,2,.256,.820
TellezDH,4,0,1,0,0,1,4,.226,.774
Hiura1B,3,0,0,1,0,1,3,.240,.809
CaratiniC,4,0,1,0,0,0,3,.204,.668
"Urías, L2B",2,1,1,0,1,0,0,.223,.715
MitchellCF,4,0,1,1,0,3,3,.154,.549
,29,4,6,2,6,8,21,,
