PITCHERS - DET,IP,H,R,ER,BB,SO,HR,ERA
"Hill, G",5.0,4,3,1,2,1,1,4.66
Cisnero,1.0,1,0,0,0,0,0,1.17
Foley,1.0,0,0,0,0,0,0,3.24
Vest,1.0,2,0,0,0,1,0,3.68
"Castillo, L.F.",1.0,0,0,0,0,0,0,0.00
"Soto, G(L, 2-7)",1.0,1,1,0,0,0,0,3.10
,10.0,8,4,1,2,2,1,
