PITCHERS - SF,IP,H,R,ER,BB,SO,HR,ERA
Wood,4.1,5,2,2,1,6,1,4.15
Littell,0.2,0,0,0,0,1,0,0.00
Leone,1.0,1,0,0,0,2,0,3.86
"Rogers, Ty(L, 0-1)",1.0,2,1,1,0,1,0,3.38
Doval,1.0,1,0,0,0,1,0,8.10
Alvarez,0.2,1,1,1,2,0,0,4.50
Long,0.1,0,0,0,1,0,0,0.00
,9.0,10,4,4,4,11,1,
