PITCHERS - BOS,IP,H,R,ER,BB,SO,HR,ERA
Whitlock,5.0,3,2,2,2,3,1,2.43
"Diekman(BS, 3)",0.2,0,0,0,1,0,0,3.18
Schreiber,0.1,0,0,0,0,1,0,0.00
"Barnes, M",0.1,2,1,1,0,0,0,7.71
"Strahm(W, 2-1)",1.2,1,0,0,0,3,0,2.13
"Robles(S, 2)",1.0,1,0,0,0,0,0,2.51
,9.0,7,3,3,3,7,1,
