PITCHERS - HOU,IP,H,R,ER,BB,SO,HR,ERA
Odorizzi,5.0,3,2,1,1,4,0,3.13
"Maton, P",2.0,2,1,1,0,1,1,4.08
"Neris(L, 1-2)",1.0,3,3,3,1,1,1,2.12
,8.0,8,6,5,2,6,2,
