BATTERS - LAA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Villar3B,5,1,1,0,0,2,1,.224,.587
TroutCF,5,1,3,3,0,1,0,.275,.988
OhtaniDH,5,1,3,1,0,0,2,.262,.849
WardRF,4,0,1,0,1,2,2,.302,.927
Walsh1B,4,0,1,0,0,0,3,.247,.722
Stefanic2B,3,0,0,0,0,0,5,.286,.643
"Velazquez, ASS",1,0,0,0,0,1,0,.164,.468
RengifoSS-2B,4,0,1,0,0,1,1,.241,.668
StassiC,3,1,1,0,1,0,0,.210,.643
MarshLF,4,0,1,0,0,2,3,.226,.614
,38,4,12,4,2,9,17,,
