PITCHERS - BAL,IP,H,R,ER,BB,SO,HR,ERA
"Wells, T",4.0,6,3,3,2,3,1,3.28
Baker,1.0,2,0,0,0,1,0,4.37
Akin,1.2,1,0,0,0,3,0,2.31
Sulser,1.1,2,0,0,0,2,0,3.86
"Tate(W, 1-3)",1.0,1,1,1,0,0,1,2.68
,9.0,12,4,4,2,9,2,
